Virus,VirusTaxID
alphacoronavirus btcov/grnc3/neo_cap/rsa/2012,1532166
alphacoronavirus btcov/grnc4/neo_cap/rsa/2012,1532167
alphacoronavirus btcov/grnc5/neo_cap/rsa/2012,1532168
alphacoronavirus btcov/grnc6/neo_cap/rsa/2012,1532169
alphacoronavirus btcov/grnc7/neo_cap/rsa/2012,1532170
alphacoronavirus btcov/grnc8/neo_cap/rsa/2012,1532171
alphacoronavirus btcov/vh_nc2/neo_cap/rsa/2012,1532175
fraser's dolphin morbillivirus,2847288
dolphin rhabdovirus,1511639
lagenorhynchus alphaherpesvirus 1,1232896
woolly monkey hepatitis b virus,68416
lagothrix lagotricha lymphocryptovirus 1,1093781
llama faeces associated circular dna virus-1,1843771
lanius cristatus genomoviridae sp.,2814963
lanius cristatus parvoviridae sp.,2794482
larimichthys croaker adintovirus,2609857
baku virus,1484571
hughes orthonairovirus,1980523
galliform chaphamaparvovirus 3,2734301
gull coronavirus,2605444
gull metapneumovirus,2605443
gull papillomavirus 2,2562548
gull papillomavirus 1,2562547
gull papillomavirus 3,2562549
luscinia sibilans cress-dna-virus sp.,2815041
luscinia sibilans genomoviridae sp.,2814966
luscinia sibilans parvo-like hybrid virus,2794515
luscinia sibilans parvoviridae sp.,2794516
aquabirnavirus sp.,1930547
asian seabass nervous necrosis virus,1056515
barramundi adomavirus,2609870
barramundi nervous necrosis virus,464939
barramundi paramyxovirus fl24,2813180
betanodavirus lcnv,760216
betanodavirus t4nv,760217
lates calcarifer birnavirus,2583366
lates calcarifer herpesvirus,2497408
scale drop disease virus,1697349
seabass iridovirus,584629
striped trumpeter nervous necrosis virus,464942
leiognathus equulus nervous necrosis virus,670534
spangled perch bastrovirus,2830723
topografov hantavirus,83192
arenavirus lemniscomys/f4-8/tza/2008,913012
gordil phlebovirus,2734449
lemur associated porprismacovirus 1,2170115
lesavirus 1,1603963
ring tailer lemur adenovirus,2301517
golden-headed lion tamarin adenovirus,2301504
leontopithecus rosalia lymphocryptovirus 1,291838
picobirnavirus geoffroys_cat/uru-01/2009,1068740
leopardus pardalis gammaherpesvirus 1,1706830
torque teno felid virus 3,2846482
leopardus wiedii papillomavirus type 1,2495531
lepidotrigla alata iridovirus,670570
lepidotrigla alata nervous necrosis virus,670536
lepilemur pegivirus,2490445
bluegill hepatitis b virus,2169918
bluegill sunfish rabdovirus,1850239
bluegill toti-like virus 1,2855313
limnipivirus a,1914574
hainan leptobrachium hainanense astrovirus,2116140
leptonychotes weddellii papillomavirus 1,2077302
leptonychotes weddellii papillomavirus 2,2077303
leptonychotes weddellii papillomavirus 3,2077304
leptonychotes weddellii papillomavirus 4,2077305
leptonychotes weddellii papillomavirus 5,2077306
leptonychotes weddellii papillomavirus 6,2077307
leptonychotes weddellii papillomavirus 7,2077308
leptonychotes weddellii polyomavirus 1,1925019
megrivirus e,2170008
torque teno pinniped virus 8,2846534
torque teno pinniped virus 9,2846535
torque teno seal virus 8,2560820
werosea circovirus,2682467
werosea cyclovirus,2714177
avipoxvirus id2757,1047198
lepus americanus faeces associated genomovirus shp11,2219117
lepus americanus faeces associated genomovirus shp111,2219118
lepus americanus faeces associated genomovirus shp216,2219119
lepus americanus faeces associated genomovirus shp7,2219120
lepus americanus faeces associated genomovirus shp9,2219121
snowshoe hare orthobunyavirus,2560767
hare calicivirus,1743398
european brown hare syndrome virus,33756
hare calicivirus australia-1,2569936
hare calicivirus australia-2,2569937
hare calicivirus australia-3,2569938
porcine stool-associated circular virus,1843773
coronavirus hare_cov/la06_377/lep_gra/esp/2006,1679873
coronavirus hare_cov/la06_378/lep_gra/esp/2006,1679874
coronavirus hare_cov/la06_379/lep_gra/esp/2006,1679875
coronavirus hare_cov/la06_380/lep_gra/esp/2006,1679876
coronavirus hare_cov/la06_382/lep_gra/esp/2006,1679877
coronavirus hare_cov/la06_383/lep_gra/esp/2006,1679878
coronavirus hare_cov/la08_60/lep_gra/esp/2008,1679879
coronavirus hare_cov/la08_96/lep_gra/esp/2008,1679880
coronavirus hare_cov/la08_99/lep_gra/esp/2008,1679881
leporid gammaherpesvirus 5,2729004
lepus granatensis polyomavirus 1,2845504
lepus torque teno virus 2,2716319
myxoma virus,10273
torque teno leprid virus 1,2846489
dongbei arctic lamprey astrovirus 1,2116123
dongbei arctic lamprey astrovirus 2,2116124
dongbei arctic lamprey astrovirus 3,2116125
dongbei arctic lamprey astrovirus 4,2116126
dongbei arctic lamprey calicivirus 1,2116166
dongbei arctic lamprey calicivirus 2,2116167
dongbei arctic lamprey hepevirus,2116396
asp circo-like virus,1494917
cyprinid herpesvirus 5,2699769
avipoxvirus isolate montana,1294107
adenovirus predict_adv-61,2710994
coronavirus predict cov-66,2042590
kasama virus,2755161
ampivirus a,1986960
livupivirus a,1926511
rana catesbeiana virus,1380865
rana catesbeiana virus 2,2026840
rana catesbeiana virus jp,587199
rana catesbeiana virus tw07-440,566307
ranavirus sp. rrm-2005,310386
uruguayan bullfrog tadpole virus,288917
ranid herpesvirus 1,85655
ranid herpesvirus 2,389214
coronavirus mex_cov-3,1289548
lonchura maja polyomavirus 1,2169904
lonchura striata deltavirus,2766951
munia coronavirus hku13,1297661
lophiomus setigerus nervous necrosis virus,670537
goosefish actinovirus,2560483
wenling yellow goosefish calicivirus,2116392
lophocebus albigena lymphocrytovirus 1,291842
lophocebus aterrimus adenovirus,1916697
lophocebus aterrimus lymphocryptovirus 1,987113
lophura nycthemera aveparvovirus,2794554
lophura nycthemera parvoviridae sp.,2794483
lophuromys jeilongvirus 1,2560563
lophuromys jeilongvirus 2,2560564
ruloma virus,2811341
adenovirus predict_adv-24,2710958
mastadenovirus sp. cmr-5173,2592013
mastadenovirus sp. cmr-5476,2592023
mastadenovirus sp. cmr-5478,2592024
mastadenovirus sp. cmr-5492,2592026
mastadenovirus sp. cmr-5493,2592027
mastadenovirus sp. cmr-5812,2592031
mastadenovirus sp. cmr-5922,2592032
paramyxovirus predict_pmv-160,2711076
adenovirus predict_adv-17,2710950
hepatovirus e,1987126
avipoxvirus id8926,1047200
elephant endotheliotropic herpesvirus 2,759755
elephant endotheliotropic herpesvirus 6,768739
elephant endotheliotropic herpesvirus 7,1166470
elephant gammaherpesvirus 1b,1325581
elephant gammaherpesvirus 3b,768743
elephant gammaherpesvirus 4,1806069
elephantid herpesvirus 6,439203
loxodonta africana polyomavirus 1,1891766
luscinia cyane chaphamaparvovirus,2794491
luscinia cyane cress-dna-virus sp.,2815040
luscinia cyane genomoviridae sp.,2814965
luscinia cyane ichthamaparvovirus,2794553
luscinia cyane parvoviridae sp.,2794513
bacilladnaviridae sp.,2202647
circular genetic element sp.,2202954
geminiviridae sp.,2202566
lutjanus campechanus-associated papillomavirus 1,2683335
virus sp.,2202649
lutjanus gibbus iridovirus,670571
white star snapper nervous necrosis virus,304892
carnivore amdoparvovirus 1,1511862
eurasian otter gammaherpesvirus,2816966
lunovirus,1634490
lutrine adenovirus type 1,2023343
morbillivirus sp.,2078987
otter fecal bunyavirus,1504566
canid herpesvirus 2,1288357
lycalopex gymnocercus torque teno virus 1,2751163
lycalopex gymnocercus torque teno virus 2,2751164
guangdong red-banded snake picornavirus,2116181
guangdong red-banded snake torovirus,2116384
piscichuvirus lycodontis,2845857
lynx canadensis faeces associated genomovirus cl1 128,2219122
lynx canadensis faeces associated genomovirus cl1 148,2219123
lynx canadensis faeces associated genomovirus cl1 46,2219124
lynx canadensis faeces associated genomovirus cl1 48,2219125
lynx canadensis faeces associated genomovirus cl1 58,2219126
lynx canadensis faeces associated genomovirus cl1 71,2219127
lynx canadensis faeces associated genomovirus cl1 74,2219128
lynx canadensis faeces associated genomovirus cl3 128,2219129
lynx canadensis faeces associated genomovirus cl4 128,2219130
lynx canadensis faeces associated genomovirus cl4 71,2219131
lynx canadensis faeces associated genomovirus cl5 48,2219132
lynx canadensis gammaherpesvirus 1,2508171
felismacovirus lynas1,2844281
lynx rufus gammaherpesvirus 1,1452541
lynx rufus gammaherpesvirus 2,1706831
porprismacovirus lynas2,2845903
sonfela circovirus 1,2771380
sonfela circovirus 2,2771381
macaca arctoides gammaherpesvirus 1,2341050
macaque simian foamy virus,338478
taiwanese macaque simian foamy virus,2170202
alphapapillomavirus 12,10570
betapapillomavirus 6,1172193
cynomolgus cytomegalovirus,1919083
lymphocryptovirus sp.,2665497
macaca fascicularis adenovirus 1,1076307
macaca fascicularis chapparvovirus,2663234
macaca fascicularis cytomegalovirus 1,308703
macaca fascicularis gammapapillomavirus,2663246
macaca fascicularis lymphocryptovirus,1195658
macaca fascicularis lymphocryptovirus 1,212722
macaca fascicularis picobirnavirus,2763909
macaca fascicularis picornavirus,2663233
macaca fascicularis polyomavirus 1,1236398
macaca fascicularis protoparvovirus,2663244
macaca fascicularis sapelovirus,2663245
macaca fascicularis stool-associated virus,2663259
macacine betaherpesvirus 8,2560567
macacine gammaherpesvirus 10,2560569
macacine gammaherpesvirus 8,2560572
picobirnavirus monkey/chn-33/2002,1195204
picobirnavirus monkey/chn-41/2002,1195210
picobirnavirus monkey/chn-76/2002,1195231
primate erythroparvovirus 2,1511901
sapelovirus b,686985
simian adenovirus 8,413258
simian adenovirus b,1165908
simian mastadenovirus a,298334
simian mastadenovirus b,1962299
simian retrovirus 8,1904439
zetaarterivirus ugarco 1,2499932
japanese cytomegalovirus,2795229
macaca fuscata lymphocryptovirus 2,221244
macaca fuscata papillomavirus 2,2506204
macacine gammaherpesvirus 11,2560570
macacine gammaherpesvirus 4,45455
simian retrovirus 5,123561
simian retrovirus y,980635
adeno-associated virus clade a,1717193
adeno-associated virus clade c,1717194
adeno-associated virus clade d,1717195
adeno-associated virus predict_aav-10,1717196
adeno-associated virus predict_aav-11,1717197
adeno-associated virus predict_aav-5,1717198
adeno-associated virus predict_aav-6,1717199
adeno-associated virus predict_aav-7,1717200
adeno-associated virus predict_aav-8,1717201
adeno-associated virus predict_aav-9,1717202
adeno-associated virus rh.8,1717203
adenovirus predict_adv-69,1717143
adenovirus predict_adv-72,1717144
african green monkey polyomavirus,12480
astrovirus predict mastv-111,1717145
astrovirus predict mastv-112,1717146
astrovirus predict mastv-113,1717147
astrovirus predict mastv-117,1717148
astrovirus predict mastv-118,1717149
astrovirus predict mastv-122,1717150
astrovirus predict mastv-125,1717151
astrovirus predict mastv-126,1717152
astrovirus predict mastv-127,1717153
astrovirus predict mastv-128,1717154
astrovirus predict mastv-137,1717155
camula virus,1960157
coronavirus predict_cov-49,1717204
coronavirus predict_cov-50,1717205
deltaarterivirus pejah,2499623
enterovirus l,2169885
enterovirus rhesus monkey/ffh-2008/china,754527
epsilonarterivirus hemcep,2501964
macaca mulatta adenovirus 1,1076308
macaca mulatta feces associated virus 1,2499223
macaca mulatta feces associated virus 5,2499227
macaca mulatta feces associated virus 6,2499228
macaca mulatta feces associated virus 8,2499230
macaca mulatta feces associated virus 9,2499231
macaca mulatta lymphocryptovirus 1,221245
macaca mulatta papillomavirus 2,2294150
macaca mulatta papillomavirus 3,2294151
macaca mulatta papillomavirus 4,2294152
macaca mulatta papillomavirus 5,2364645
macaca mulatta papillomavirus 6,2364646
macaca mulatta papillomavirus 7,2364644
macaca mulatta papillomavirus m010,2654579
macaca mulatta papillomavirus m011,2654570
macaca mulatta papillomavirus otufa11,2654585
macaca mulatta papillomavirus otufa116,2654571
macaca mulatta papillomavirus otufa121,2654586
macaca mulatta papillomavirus otufa127,2654587
macaca mulatta papillomavirus otufa13,2654588
macaca mulatta papillomavirus otufa165,2654589
macaca mulatta papillomavirus otufa21,2654590
macaca mulatta papillomavirus otufa279,2654591
macaca mulatta papillomavirus otufa286,2654592
macaca mulatta papillomavirus otufa3,2654572
macaca mulatta papillomavirus otufa300,2654593
macaca mulatta papillomavirus otufa333,2654594
macaca mulatta papillomavirus otufa34,2654601
macaca mulatta papillomavirus otufa36,2654595
macaca mulatta papillomavirus otufa368,2654596
macaca mulatta papillomavirus otufa3772,2654568
macaca mulatta papillomavirus otufa403,2654597
macaca mulatta papillomavirus otufa426,2654598
macaca mulatta papillomavirus otufa43,2654599
macaca mulatta papillomavirus otufa44,2654573
macaca mulatta papillomavirus otufa45,2654600
macaca mulatta papillomavirus otufa485,2654602
macaca mulatta papillomavirus otufa488,2654603
macaca mulatta papillomavirus otufa489,2654604
macaca mulatta papillomavirus otufa49,2654605
macaca mulatta papillomavirus otufa5,2654606
macaca mulatta papillomavirus otufa53,2654584
macaca mulatta papillomavirus otufa593,2654607
macaca mulatta papillomavirus otufa60,2654608
macaca mulatta papillomavirus otufa609,2654609
macaca mulatta papillomavirus otufa611,2654610
macaca mulatta papillomavirus otufa650,2654611
macaca mulatta papillomavirus otufa69,2654612
macaca mulatta papillomavirus otufa70,2654613
macaca mulatta papillomavirus otufa740,2654614
macaca mulatta papillomavirus otufa8,2654574
macaca mulatta papillomavirus otuma10,2654575
macaca mulatta papillomavirus otuma11,2654580
macaca mulatta papillomavirus otuma12,2654583
macaca mulatta papillomavirus otuma146,2654581
macaca mulatta papillomavirus otuma15,2654569
macaca mulatta papillomavirus otuma20,2654576
macaca mulatta papillomavirus otuma28,2654582
macaca mulatta papillomavirus otuma32,2654577
macaca mulatta papillomavirus otuma89,2654578
macacine betaherpesvirus 3,47929
macaque picobirnavirus 0,2078788
macaque picobirnavirus 1,2078789
macaque picobirnavirus 10,2078790
macaque picobirnavirus 11,2078791
macaque picobirnavirus 12,2078792
macaque picobirnavirus 13,2078793
macaque picobirnavirus 14,2078794
macaque picobirnavirus 15,2078795
macaque picobirnavirus 16,2078796
macaque picobirnavirus 17,2078797
macaque picobirnavirus 18,2078798
macaque picobirnavirus 19,2078799
macaque picobirnavirus 2,2078800
macaque picobirnavirus 20,2078801
macaque picobirnavirus 21,2078802
macaque picobirnavirus 22,2078803
macaque picobirnavirus 23,2078804
macaque picobirnavirus 24,2078805
macaque picobirnavirus 25,2078806
macaque picobirnavirus 26,2078807
macaque picobirnavirus 27,2078808
macaque picobirnavirus 28,2078809
macaque picobirnavirus 29,2078810
macaque picobirnavirus 3,2078811
macaque picobirnavirus 30,2078812
macaque picobirnavirus 31,2078813
macaque picobirnavirus 32,2078814
macaque picobirnavirus 33,2078815
macaque picobirnavirus 34,2078816
macaque picobirnavirus 35,2078817
macaque picobirnavirus 36,2078818
macaque picobirnavirus 37,2078819
macaque picobirnavirus 4,2078820
macaque picobirnavirus 5,2078821
macaque picobirnavirus 6,2078822
macaque picobirnavirus 7,2078823
macaque picobirnavirus 8,2078824
macaque picobirnavirus 9,2078825
murine rotavirus,28327
orbivirus predict_orbi-6,1717206
papillomavirus predict_papv-1,1717207
picobirnavirus monkey/chn-16/2002,1195193
picobirnavirus monkey/chn-17/2002,1195194
picobirnavirus monkey/chn-18/2002,1195195
picobirnavirus monkey/chn-19/2002,1195196
picobirnavirus monkey/chn-2/2002,1195197
picobirnavirus monkey/chn-20/2002,1195198
picobirnavirus monkey/chn-22/2002,1195199
picobirnavirus monkey/chn-25/2002,1195200
picobirnavirus monkey/chn-27/2002,1195201
picobirnavirus monkey/chn-28/2002,1195202
picobirnavirus monkey/chn-3/2002,1195203
picobirnavirus monkey/chn-34/2002,1195205
picobirnavirus monkey/chn-36/2002,1195206
picobirnavirus monkey/chn-37/2002,1195207
picobirnavirus monkey/chn-38/2002,1195208
picobirnavirus monkey/chn-4/2002,1195209
picobirnavirus monkey/chn-45/2002,1195211
picobirnavirus monkey/chn-46/2002,1195212
picobirnavirus monkey/chn-48/2002,1195213
picobirnavirus monkey/chn-5/2002,1195215
picobirnavirus monkey/chn-51/2002,1195216
picobirnavirus monkey/chn-53/2002,1195217
picobirnavirus monkey/chn-56/2002,1195218
picobirnavirus monkey/chn-59/2002,1195219
picobirnavirus monkey/chn-60/2002,1195220
picobirnavirus monkey/chn-61/2002,1195221
picobirnavirus monkey/chn-62/2002,1195222
picobirnavirus monkey/chn-65/2002,1195223
picobirnavirus monkey/chn-66/2002,1195224
picobirnavirus monkey/chn-67/2002,1195225
picobirnavirus monkey/chn-70/2002,1195226
picobirnavirus monkey/chn-71/2002,1195227
picobirnavirus monkey/chn-72/2002,1195228
picobirnavirus monkey/chn-73/2002,1195229
picobirnavirus monkey/chn-74/2002,1195230
picobirnavirus monkey/chn-78/2002,1195232
picobirnavirus monkey/chn-79/2003,1195233
picobirnavirus monkey/chn-8/2002,1195234
picobirnavirus monkey/chn-83/2003,1195235
picobirnavirus predict_pbv-1,1690685
picobirnavirus predict_pbv-10,1690686
picobirnavirus predict_pbv-100,1690687
picobirnavirus predict_pbv-101,1690688
picobirnavirus predict_pbv-102,1690689
picobirnavirus predict_pbv-103,1690690
picobirnavirus predict_pbv-104,1690691
picobirnavirus predict_pbv-105,1690692
picobirnavirus predict_pbv-106,1690693
picobirnavirus predict_pbv-107,1690694
picobirnavirus predict_pbv-108,1690695
picobirnavirus predict_pbv-109,1690696
picobirnavirus predict_pbv-11,1690697
picobirnavirus predict_pbv-110,1690698
picobirnavirus predict_pbv-111,1690699
picobirnavirus predict_pbv-112,1690700
picobirnavirus predict_pbv-113,1690701
picobirnavirus predict_pbv-114,1690702
picobirnavirus predict_pbv-115,1690703
picobirnavirus predict_pbv-116,1690704
picobirnavirus predict_pbv-117,1690705
picobirnavirus predict_pbv-118,1690706
picobirnavirus predict_pbv-119,1690707
picobirnavirus predict_pbv-12,1690708
picobirnavirus predict_pbv-120,1690709
picobirnavirus predict_pbv-121,1690710
picobirnavirus predict_pbv-13,1690711
picobirnavirus predict_pbv-14,1690712
picobirnavirus predict_pbv-15,1690713
picobirnavirus predict_pbv-16,1690714
picobirnavirus predict_pbv-17,1690715
picobirnavirus predict_pbv-18,1690716
picobirnavirus predict_pbv-19,1690717
picobirnavirus predict_pbv-2,1690718
picobirnavirus predict_pbv-20,1690719
picobirnavirus predict_pbv-21,1690720
picobirnavirus predict_pbv-22,1690721
picobirnavirus predict_pbv-23,1690722
picobirnavirus predict_pbv-24,1690723
picobirnavirus predict_pbv-25,1690724
picobirnavirus predict_pbv-26,1690725
picobirnavirus predict_pbv-27,1690726
picobirnavirus predict_pbv-28,1690727
picobirnavirus predict_pbv-29,1690728
picobirnavirus predict_pbv-3,1690729
picobirnavirus predict_pbv-30,1690730
picobirnavirus predict_pbv-31,1690731
picobirnavirus predict_pbv-32,1690732
picobirnavirus predict_pbv-33,1690733
picobirnavirus predict_pbv-34,1690734
picobirnavirus predict_pbv-35,1690735
picobirnavirus predict_pbv-36,1690736
picobirnavirus predict_pbv-37,1690737
picobirnavirus predict_pbv-38,1690738
picobirnavirus predict_pbv-39,1690739
picobirnavirus predict_pbv-4,1690740
picobirnavirus predict_pbv-40,1690741
picobirnavirus predict_pbv-41,1690742
picobirnavirus predict_pbv-42,1690743
picobirnavirus predict_pbv-43,1690744
picobirnavirus predict_pbv-44,1690745
picobirnavirus predict_pbv-45,1690746
picobirnavirus predict_pbv-46,1690747
picobirnavirus predict_pbv-47,1690748
picobirnavirus predict_pbv-48,1690749
picobirnavirus predict_pbv-49,1690750
picobirnavirus predict_pbv-5,1690751
picobirnavirus predict_pbv-50,1690752
picobirnavirus predict_pbv-51,1690753
picobirnavirus predict_pbv-52,1690754
picobirnavirus predict_pbv-53,1690755
picobirnavirus predict_pbv-54,1690756
picobirnavirus predict_pbv-55,1690757
picobirnavirus predict_pbv-57,1690758
picobirnavirus predict_pbv-58,1690759
picobirnavirus predict_pbv-59,1690760
picobirnavirus predict_pbv-6,1690761
picobirnavirus predict_pbv-60,1690762
picobirnavirus predict_pbv-61,1690763
picobirnavirus predict_pbv-62,1690764
picobirnavirus predict_pbv-63,1690765
picobirnavirus predict_pbv-64,1690766
picobirnavirus predict_pbv-65,1690767
picobirnavirus predict_pbv-66,1690768
picobirnavirus predict_pbv-67,1690769
picobirnavirus predict_pbv-68,1690770
picobirnavirus predict_pbv-69,1690771
picobirnavirus predict_pbv-7,1690772
picobirnavirus predict_pbv-70,1690773
picobirnavirus predict_pbv-71,1690774
picobirnavirus predict_pbv-72,1690775
picobirnavirus predict_pbv-73,1690776
picobirnavirus predict_pbv-74,1690777
picobirnavirus predict_pbv-75,1690778
picobirnavirus predict_pbv-76,1690779
picobirnavirus predict_pbv-77,1690780
picobirnavirus predict_pbv-78,1690781
picobirnavirus predict_pbv-79,1690782
picobirnavirus predict_pbv-8,1690783
picobirnavirus predict_pbv-80,1690784
picobirnavirus predict_pbv-81,1690785
picobirnavirus predict_pbv-82,1690786
picobirnavirus predict_pbv-83,1690787
picobirnavirus predict_pbv-84,1690788
picobirnavirus predict_pbv-85,1690789
picobirnavirus predict_pbv-86,1690790
picobirnavirus predict_pbv-87,1690791
picobirnavirus predict_pbv-88,1690792
picobirnavirus predict_pbv-89,1690793
picobirnavirus predict_pbv-9,1690794
picobirnavirus predict_pbv-90,1690795
picobirnavirus predict_pbv-91,1690796
picobirnavirus predict_pbv-92,1690797
picobirnavirus predict_pbv-93,1690798
picobirnavirus predict_pbv-94,1690799
picobirnavirus predict_pbv-95,1690800
picobirnavirus predict_pbv-96,1690801
picobirnavirus predict_pbv-97,1690802
picobirnavirus predict_pbv-98,1690803
picobirnavirus predict_pbv-99,1690804
picornavirus predict_picornav-1,1717189
picornavirus predict_picornav-2,1717190
picornavirus predict_picornav-3,1717191
picornavirus predict_picornav-4,1717192
polyomavirus pgpyv-2,1403218
polyomavirus predict_pyv-31,1717209
porprismacovirus macas1,2845904
porprismacovirus macas2,2845905
porprismacovirus macas3,2845906
porprismacovirus macas4,2845907
porprismacovirus macas6,2845909
primate bocaparvovirus 3,2654204
primate protoparvovirus 2,2170149
rhabdovirus predict_rbdv-14,1717210
rhabdovirus predict_rbdv-15,1717211
rhesus adenovirus 54,2064730
rhesus adenovirus 55,2064731
rhesus adenovirus 56,2064732
rhesus adenovirus 57,2064733
rhesus adenovirus 58,2064734
rhesus adenovirus 59,2064735
rhesus adenovirus 60,2064736
rhesus adenovirus 61,2064737
rhesus adenovirus 62,2064738
rhesus adenovirus 63,2064739
rhesus adenovirus 64,2064740
rhesus adenovirus 65,2064741
rhesus adenovirus 66,2064742
rhesus adenovirus 67,2064743
rhesus macaque norovirus,872275
rhesus macaque picobirnavirus,2575833
rhesus macaque recovirus,875071
rhesus macaque simian foamy virus,2170199
simian adeno-associated virus,1917081
simian adenovirus 12,1715782
simian adenovirus 15,1715780
simian adenovirus 2,38418
simian adenovirus 5,1715781
simian adenovirus jjl/china/2008,948748
simian adenovirus krf-2014,1458443
simian bocavirus,2042693
simian bufavirus,1917078
simian erythroparvovirus 2,1920706
simian mastadenovirus d,1986017
simian mastadenovirus h,1986021
simian parvo-like virus 1,1917073
simian parvo-like virus 2,1917074
simian parvo-like virus 3,1917075
simian picobirnavirus,1917082
simian retrovirus 7,364320
simian sapelovirus b,1917083
statovirus a,1964816
statovirus a2,1964818
statovirus a3,1964819
statovirus a4,1964820
statovirus b1,1964821
wuharv calicivirus 1,1245560
wuharv enterovirus 1,1245564
wuharv enterovirus 2,1245565
wuharv enterovirus 3,1245566
wuharv sapelovirus 1,1245562
wuharv sapelovirus 2,1245563
adenovirus predict_adv-55,2558897
bakau orthobunyavirus,1933175
macacine betaherpesvirus 9,2560568
macacine gammaherpesvirus 12,2560571
statovirus a1,1964817
flavivirus slmw-2015,1735573
macaca sylvanus lymphocryptovirus 1,221246
macaca thibetana lymphocryptovirus 2,691499
abatino macacapox virus,2734574
murray cod iridovirus,325444
macroglossus minimus gammaretrovirus,2730657
adenovirus predict_adv-27,2710961
wuhan spiny eel calicivirus 1,2116156
wuhan spiny eel calicivirus 2,2116157
wuhan spiny eel influenza virus,2116483
avipoxvirus isolate antarctica,1294090
adenovirus predict_adv-40,2710974
adenovirus predict_adv-41,2710975
fikirini ledantevirus,1978545
kenya bat coronavirus btky07,681854
shimoni bat lyssavirus,746543
zaria bat coronavirus,989337
bat flavivirus belinga gb09 934,1225489
bat paramyxovirus hip_gig/gb09682/gab/2009,1112659
bat paramyxovirus hip_gig/gb09685/gab/2009,1112607
bat paramyxovirus hip_gig/gb09898/gab/2009,1112661
coronavirus predict cov-54,2042578
leopards hill orthonairovirus,2845500
mischivirus c,2003499
paramyxovirus predict_pmv-80,2711101
paramyxovirus predict_pmv-82,2711103
polyomavirus predict_pyv-9,2558892
bat hepacivirus,1325446
hepacivirus k,2008770
hepacivirus l,2008771
western kangaroopox virus,2734572
eastern kangaroopox virus,2734571
macropodid alphaherpesvirus 4,2762721
macropodid herpesvirus 3,434028
macropodid herpesvirus 4,1282341
piscichuvirus wenlingense,2845859
wenling longspine snipefish astrovirus,2116418
wenling snipefish astrovirus,2116152
grenadier adomavirus,2609868
pancake tortoise adenovirus,1215920
adenovirus predict_adv-46,2710980
pink-eared duck avastrovirus,2592511
pink-eared duck calicivirus i,2592509
pink-eared duck calicivirus ii,2592510
pink-eared duck megrivirus,2592493
pink-eared duck picobirnavirus,2592517
pink-eared duck picornavirus,2592518
malakichthys elegans nervous necrosis virus,670538
mandrillus cytomegalovirus,144209
sapelovirus a,686984
astrovirus mnd-139,2795017
astrovirus mnd-27,2795016
astrovirus mnd-36,2795015
enterovirus 123,1530247
enterovirus h,310907
mandrill polyomavirus,887570
mandrillus betaherpesvirus,144210
mandrillus sphinx adenovirus,1916698
mandrillus sphinx lymphocryptovirus 2,221690
dongyang pangolin virus,2713211
lishui pangolin virus,2713212
pangolin coronavirus,2708335
pangolin coronavirus gz5-2,2748747
pangolin respirovirus,2806895
hantavirus 2066 biritiba mirim,587482
marmot associated feces circular dna molecule 1,2800892
marmot associated feces circular dna molecule 2,2800893
marmot associated feces circular dna molecule 3,2800894
marmot associated feces circular dna molecule 4,2800895
marmot associated feces virus 1,2800896
marmot associated feces virus 2,2800897
marmot associated feces virus 3,2800898
marmot associated feces virus 4,2800899
marmot associated feces virus 5,2800900
marmot associated feces virus 6,2800901
marmot associated genomovirus 1,2716343
marmot associated genomovirus 2,2716344
marmot associated genomovirus 3,2716345
marmot associated genomovirus 4,2716346
marmot associated torque teno virus,2716347
himalayan marmot bocaparvovirus 1,2059413
himalayan marmot bocaparvovirus 2,2059415
marmot astrovirus 1,2161797
marmot astrovirus 2,2161798
marmot astrovirus 3,2161799
marmot astrovirus 4,2161800
marmot astrovirus 5,2161801
marmot astrovirus 6,2161802
marmot cardiovirus,2161811
marmot kobuvirus,2161810
marmot mosavirus,2161809
marmot norovirus,2161807
marmot picobirnavirus,2161795
marmot sapelovirus 1,2161803
marmot sapelovirus 2,2161804
marmot sapovirus,2161805
qinghai himalayan marmot astrovirus 1,1961665
qinghai himalayan marmot astrovirus 2,1961666
rabovirus c,2560696
woodchuck hepatitis virus,35269
labrador amdoparvovirus 1,2778671
marten alphaherpesvirus,1834529
marten alphaherpesvirus 1,2706556
marten alphaherpesvirus 2,2706557
marten betaherpesvirus,1834535
marten gammaherpesvirus 1,1834530
marten gammaherpesvirus 2,1834531
marten gammaherpesvirus 3,2706554
marten gammaherpesvirus 4,2706555
martes foina papillomavirus 1,2831903
marten adenovirus type 1,2023337
marten adenovirus type 2,2023342
pine marten bocavirus,1128072
fisher herpesvirus,1045882
dhati welel mammarenavirus,2755000
mobala mammarenavirus,55097
adenovirus predict_adv-32,2710966
gairo mammarenavirus,1535802
iotapapillomavirus 1,10567
luna mammarenavirus,883876
mastadenovirus sp. cmr-6284,2592041
mastomys natalensis cytomegalovirus 3,2662313
mastomys natalensis polyomavirus 1,1891768
mastomys natalensis polyomavirus 2,2182467
mastomys natalensis polyomavirus 3,2662314
mastomys natalensis rhadinovirus 1,2662312
meliandou hantavirus,2650671
mopeia mammarenavirus,11629
morogoro mammarenavirus,573900
paramyxovirus predict_pmv-150,2711067
paramyxovirus predict_pmv-64,1647263
rodent paramyxovirus kasr11-03,1383946
